Trajectories
100
,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,672.916,-15.9173,1540.23,452.579,-35.6007,1289.17,752.701,-6.88218,1325.71,516.15,-37.226,1431.97,519.682,-12.0588,1440.31,587.193,131.554,1485.63,716.684,70.6196,1463.92,749.281,75.4144,1345.9,656.618,183.688,1443.6,617.352,194.561,1457.92,546.222,283.917,1184.43,515.99,201.499,1146.07,455.61,371.66,935.587,400.112,405.684,982.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680.88,1366.77,1524.5,1522.61,1531.25,1602.87,1631.47,1542.26,1596.52,1595.15,1334.85,1272.92,1105,1135.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,672.795,-15.9132,1540.25,452.436,-35.5649,1289.17,752.612,-6.84304,1325.67,516.033,-37.2218,1431.99,519.586,-12.0341,1440.31,587.053,131.576,1485.64,716.557,70.6424,1463.94,749.15,75.4164,1345.89,656.479,183.732,1443.61,617.22,194.595,1457.92,545.997,283.828,1184.46,515.642,201.461,1146.15,455.486,371.647,935.553,400.021,405.709,982.065,-12.0819,0.409596,2.11,-14.2843,3.5841,-0.286102,-8.92282,3.91426,-3.8743,-11.7183,0.41835,1.90735,-9.55462,2.46949,-0.560284,-13.9058,2.26349,0.810623,-12.6958,2.28286,1.91927,-13.0892,0.198185,-1.07288,-13.9177,4.41819,0.834465,-13.268,3.47346,-0.607967,-22.5365,-8.86619,3.52859,-34.7972,-3.80278,7.71284,-12.3799,-1.33514,-3.42727,-9.11653,2.5034,-1.84774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680.86,1366.72,1524.42,1522.58,1531.21,1602.83,1631.43,1542.19,1596.47,1595.1,1334.77,1272.85,1104.92,1135.37,-2.90871,-5.10216,-7.79629,-2.19345,-3.80278,-4.1604,-3.75509,-7.28369,-4.45843,-5.26905,-7.9751,-7.7486,-8.45194,-3.91006,,,,,,,,,,,,,,
3,0,672.669,-15.9018,1540.26,452.298,-35.5288,1289.16,752.511,-6.82255,1325.63,515.911,-37.2136,1431.99,519.485,-12.0063,1440.3,586.914,131.602,1485.64,716.425,70.6636,1463.95,749.024,75.4222,1345.89,656.348,183.768,1443.61,617.087,194.63,1457.91,545.823,283.809,1184.47,515.28,201.424,1146.21,455.378,371.649,935.523,399.932,405.731,982.051,-12.6481,1.13789,1.04904,-13.7508,3.61167,-0.619888,-10.1328,2.04896,-3.80278,-12.2428,0.822172,0.631809,-10.1149,2.77767,-0.631809,-13.9356,2.59131,0.26226,-13.1905,2.11596,1.13249,-12.6064,0.58189,-0.703335,-13.0892,3.62694,0.464916,-13.2561,3.48389,-0.548363,-17.4344,-1.83582,1.40667,-36.18,-3.69102,6.19888,-10.8004,0.160933,-2.99811,-8.89599,2.19047,-1.43647,-56.6244,72.8294,-106.096,53.3462,2.75671,-33.3786,-120.997,-186.53,7.15256,-52.4521,40.3821,-127.554,-56.0284,30.8175,-7.15256,-2.98023,32.7826,-54.8363,-49.4719,-16.6893,-78.6781,48.2798,38.3705,36.9549,82.8505,-79.1252,-36.9549,1.19209,1.04308,5.96046,510.216,703.037,-212.193,-138.283,11.1759,-151.396,157.952,149.608,42.9153,22.0537,-31.2924,41.1272,1680.81,1366.67,1524.34,1522.55,1531.17,1602.78,1631.39,1542.12,1596.43,1595.05,1334.71,1272.75,1104.85,1135.34,-4.11272,-5.22137,-8.32081,-3.57628,-4.04119,-4.63724,-4.68493,-6.71148,-4.55379,-5.20945,-6.27041,-9.65595,-6.93798,-3.60012,-120.401,-11.9209,-52.4521,-138.283,-23.8419,-47.6837,-92.9832,57.2205,-9.53674,5.96046,170.469,-190.735,151.396,30.9944
4,0,672.537,-15.8828,1540.26,452.166,-35.4931,1289.15,752.386,-6.80301,1325.61,515.783,-37.2014,1431.99,519.378,-11.9756,1440.29,586.775,131.631,1485.64,716.285,70.69,1463.96,748.902,75.4318,1345.88,656.227,183.797,1443.61,616.955,194.665,1457.91,545.69,283.844,1184.47,514.905,201.388,1146.26,455.285,371.665,935.497,399.845,405.754,982.038,-13.2442,1.90828,-0.0238419,-13.2084,3.56585,-0.929832,-12.4395,1.95396,-2.03848,-12.7852,1.21929,-0.607967,-10.6752,3.06638,-0.703335,-13.9415,2.89828,-0.214577,-13.9952,2.64868,0.226498,-12.1713,0.964105,-0.357628,-12.1653,2.82377,-0.0238419,-13.2382,3.51667,-0.488758,-13.2978,3.45409,-0.202656,-37.4734,-3.57181,4.673,-9.2715,1.61529,-2.5928,-8.66354,2.35736,-1.32918,-59.6046,77.039,-107.288,54.2402,-4.58211,-30.9944,-230.67,-9.49949,176.43,-54.2402,39.7116,-123.978,-56.0284,28.871,-7.15256,-0.596046,30.6964,-47.6837,-80.4663,53.2717,-90.5991,43.5114,38.2215,34.5707,92.3872,-80.3173,-48.8758,1.78814,3.27826,5.96046,413.656,528.991,-160.933,-129.342,11.9209,-152.588,152.886,145.435,40.5312,23.2458,16.6893,10.7288,1680.76,1366.61,1524.26,1522.5,1531.12,1602.73,1631.33,1542.06,1596.38,1595,1334.66,1272.63,1104.8,1135.3,-5.34058,-5.34058,-7.9155,-4.93526,-4.30346,-5.07832,-5.81741,-6.17504,-4.69685,-5.126,-4.88758,-11.5275,-5.47171,-3.3617,-122.786,-11.9209,40.5312,-135.899,-26.226,-44.1074,-113.249,53.6442,-14.3051,8.34465,138.283,-187.159,146.627,23.8419
5,0,672.398,-15.8557,1540.25,452.039,-35.4592,1289.14,752.236,-6.77165,1325.61,515.649,-37.1854,1431.97,519.266,-11.9426,1440.28,586.635,131.663,1485.63,716.14,70.7257,1463.95,748.784,75.4452,1345.88,656.113,183.82,1443.61,616.823,194.701,1457.9,545.584,283.903,1184.46,514.521,201.354,1146.29,455.206,371.694,935.474,399.759,405.784,982.021,-13.87,2.70102,-1.06096,-12.6928,3.39188,-1.14441,-15.0621,3.13646,-0.0834465,-13.3336,1.60187,-1.81198,-11.2176,3.30647,-0.762939,-13.9594,3.1665,-0.667572,-14.5733,3.56808,-0.441074,-11.7838,1.33961,0,-11.3606,2.27839,-0.691414,-13.2203,3.55542,-0.5126,-10.6156,5.93066,-1.00136,-38.4629,-3.42727,3.23057,-7.85589,2.94745,-2.24113,-8.59499,2.96533,-1.62125,-62.5849,79.2742,-103.712,51.558,-17.3971,-21.4577,-262.26,118.25,195.503,-54.8363,38.2587,-120.401,-54.2402,24.0095,-5.96046,-1.78814,26.8221,-45.2995,-57.8165,91.9402,-66.7572,38.743,37.5509,35.7628,80.4663,-54.5382,-66.7572,1.78814,3.8743,-2.38419,268.221,247.657,-79.8702,-98.9437,14.4541,-144.243,141.561,133.216,35.1667,6.85453,60.7967,-29.2063,1680.7,1366.56,1524.19,1522.44,1531.08,1602.68,1631.26,1542,1596.33,1594.95,1334.62,1272.5,1104.75,1135.27,-6.54459,-5.36442,-7.52211,-6.25849,-4.55379,-5.45979,-6.65188,-5.66244,-5.03063,-5.14984,-3.96967,-13.1845,-4.13656,-3.3617,-120.401,-2.38419,39.3391,-132.322,-25.034,-38.147,-83.4465,51.26,-33.3786,-2.38419,91.7912,-165.701,133.514,0
6,0,672.253,-15.8215,1540.23,451.917,-35.428,1289.13,752.074,-6.73202,1325.62,515.51,-37.1656,1431.94,519.149,-11.908,1440.28,586.495,131.696,1485.62,715.995,70.7686,1463.94,748.669,75.4622,1345.89,656.002,183.842,1443.59,616.69,194.736,1457.89,545.489,283.962,1184.45,514.131,201.322,1146.31,455.14,371.735,935.455,399.671,405.819,982,-14.5137,3.42298,-1.94311,-12.2637,3.1177,-1.2517,-16.2005,3.96292,0.858307,-13.8998,1.97142,-2.90871,-11.7481,3.45642,-0.822544,-13.9594,3.36319,-0.977516,-14.466,4.28706,-0.703335,-11.5454,1.70469,0.309944,-11.1103,2.24113,-1.2517,-13.2978,3.54201,-0.619888,-9.4533,5.8949,-1.15633,-38.9278,-3.23206,1.78814,-6.63698,4.0561,-1.92523,-8.79765,3.53158,-2.13981,-64.373,72.1961,-88.2149,42.9153,-27.4181,-10.7288,-113.845,82.6456,94.1753,-56.6244,36.9549,-109.673,-53.0481,14.9943,-5.96046,0,19.6695,-30.9944,10.7288,71.8981,-26.226,23.8419,36.5078,30.9944,25.034,-3.72529,-56.0284,-7.7486,-1.3411,-10.7288,116.229,-3.57628,-15.4972,-46.4916,19.5205,-144.243,121.891,110.865,31.5905,-20.2656,56.6244,-51.856,1680.62,1366.51,1524.11,1522.36,1531.03,1602.62,1631.19,1541.95,1596.28,1594.89,1334.58,1272.36,1104.72,1135.23,-7.61747,-5.31673,-7.25985,-7.48634,-4.78029,-5.73397,-6.79493,-5.24521,-5.43594,-5.28097,-3.63588,-14.6389,-3.00407,-3.69549,-107.288,4.76837,26.226,-122.786,-22.6498,-27.4181,-14.3051,41.7233,-40.5312,-13.113,33.3786,-145.435,113.249,-33.3786
7,0,672.101,-15.7821,1540.2,451.797,-35.4001,1289.12,751.922,-6.69797,1325.63,515.366,-37.1423,1431.9,519.026,-11.8733,1440.27,586.356,131.731,1485.61,715.852,70.8146,1463.94,748.554,75.483,1345.89,655.888,183.867,1443.58,616.553,194.77,1457.89,545.395,284.008,1184.44,513.745,201.292,1146.32,455.084,371.783,935.439,399.58,405.855,981.974,-15.1813,3.94303,-2.5034,-11.9746,2.79546,-1.23978,-15.1873,3.4044,0.882149,-14.478,2.33315,-3.88622,-12.2666,3.47011,-0.822544,-13.9654,3.46601,-1.13249,-14.323,4.59701,-0.536442,-11.462,2.07201,0.584126,-11.3726,2.49892,-1.28746,-13.6435,3.36617,-0.846386,-9.40561,4.58956,-0.846386,-38.6238,-2.94447,0.476837,-5.64456,4.8548,-1.66297,-9.14037,3.62992,-2.55108,-66.7572,52.0051,-56.0284,28.9083,-32.2238,1.19209,101.328,-55.8514,2.38419,-57.8165,36.1726,-97.7516,-51.856,1.36904,0,-0.596046,10.2818,-15.4972,14.3051,30.9944,16.6893,8.34465,36.7314,27.4181,-26.226,25.779,-3.57628,-34.5707,-17.5834,-22.6498,4.76837,-130.534,30.9944,30.3984,28.7592,-131.13,99.2417,79.8702,26.226,-34.2727,9.83477,-41.1272,1680.53,1366.45,1524.05,1522.28,1530.98,1602.56,1631.13,1541.9,1596.22,1594.84,1334.55,1272.2,1104.7,1135.19,-8.41618,-5.20945,-6.74725,-8.61883,-4.95911,-5.87702,-6.55651,-4.95911,-5.54323,-5.62668,-3.62396,-15.6403,-2.09808,-4.12464,-79.8702,10.7288,51.26,-113.249,-17.8814,-14.3051,23.8419,28.6102,-10.7288,-34.5707,1.19209,-100.136,90.5991,-42.9153
8,0,671.943,-15.7403,1540.18,451.679,-35.3756,1289.1,751.789,-6.6788,1325.63,515.215,-37.1155,1431.86,518.898,-11.8401,1440.26,586.216,131.766,1485.6,715.705,70.8543,1463.94,748.438,75.5075,1345.9,655.771,183.895,1443.58,616.409,194.799,1457.87,545.297,284.04,1184.44,513.371,201.267,1146.31,455.034,371.837,935.424,399.486,405.888,981.949,-15.8012,4.17419,-2.58684,-11.8226,2.44863,-1.23978,-13.2382,1.91685,0.333786,-15.0323,2.68184,-4.63724,-12.7733,3.31569,-0.834465,-13.9773,3.4526,-1.18017,-14.6568,3.96967,0.107288,-11.5991,2.4505,0.77486,-11.76,2.8193,-0.596046,-14.4422,2.87145,-1.29938,-9.7692,3.19183,-0.25034,-37.4258,-2.5332,-0.727177,-4.9144,5.31673,-1.40667,-9.44138,3.20971,-2.5034,-61.9888,23.1154,-8.34465,15.1992,-34.6825,0,194.907,-148.755,-54.8363,-55.4323,34.8687,-75.1019,-50.6639,-15.4413,-1.19209,-1.19209,-1.3411,-4.76837,-33.3786,-62.7339,64.373,-13.7091,37.8489,19.0735,-38.743,32.0375,69.1414,-79.8702,-49.4719,-45.2995,-36.3588,-139.773,59.6046,119.805,41.1272,-120.401,73.0157,46.1936,25.63,-30.1003,-42.0213,4.76837,1680.45,1366.4,1523.98,1522.18,1530.93,1602.5,1631.07,1541.85,1596.17,1594.77,1334.51,1272.04,1104.69,1135.15,-8.7142,-5.13792,-6.24657,-9.5129,-5.14984,-5.9247,-6.17504,-4.8399,-5.05447,-6.42538,-3.52859,-16.1648,-1.43051,-4.33922,-29.8023,7.15256,50.0679,-89.407,-19.0735,-4.76837,38.147,11.9209,48.8758,-79.8702,9.53674,-52.4521,66.7572,-21.4577
9,0,671.78,-15.6991,1540.16,451.561,-35.3546,1289.09,751.673,-6.66777,1325.63,515.06,-37.0856,1431.8,518.766,-11.8103,1440.25,586.076,131.799,1485.59,715.554,70.8836,1463.95,748.319,75.536,1345.91,655.65,183.926,1443.58,616.25,194.818,1457.85,545.197,284.063,1184.44,513.016,201.247,1146.29,454.99,371.891,935.413,399.39,405.914,981.93,-16.3198,4.12222,-2.22921,-11.763,2.09883,-1.32322,-11.6587,1.10301,-0.166893,-15.533,2.98731,-5.11408,-13.2918,2.98815,-0.798702,-14.0131,3.34382,-1.12057,-15.1634,2.92957,0.846386,-11.9686,2.85432,0.917912,-12.0819,3.09497,0.441074,-15.8191,1.94013,-2.02656,-10.0255,2.25008,0.0715256,-35.4588,-1.96546,-1.77622,-4.45545,5.48661,-1.16229,-9.59635,2.64943,-1.97291,-51.856,-5.19678,35.7628,5.96046,-34.9805,-8.34465,157.952,-81.3836,-50.0679,-50.0679,30.5474,-47.6837,-51.856,-32.7546,3.57628,-3.57628,-10.8778,5.96046,-50.6639,-104.01,73.9098,-36.9549,40.3821,14.3051,-32.1865,27.5671,103.712,-137.687,-93.1323,-72.7177,-25.63,-94.1753,32.1865,196.695,56.7734,-104.904,45.8956,16.9873,24.4379,-15.4972,-56.0284,53.0481,1680.36,1366.35,1523.92,1522.08,1530.88,1602.44,1631.01,1541.8,1596.13,1594.7,1334.48,1271.88,1104.68,1135.11,-8.60691,-5.19753,-5.90086,-10.1328,-5.26905,-5.88894,-5.75781,-4.86374,-4.20809,-7.72476,-3.55244,-16.2125,-0.965595,-4.13656,10.7288,-5.96046,34.5707,-61.9888,-11.9209,3.57628,41.7233,-2.38419,84.6386,-129.938,-2.38419,-4.76837,46.4916,20.2656
