Trajectories
100
,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,New Patient 1:C7,,,New Patient 1:PX,,,New Patient 1:T8,,,New Patient 1:IJ,,,New Patient 1:SC,,,New Patient 1:AC,,,New Patient 1:AI,,,New Patient 1:TS,,,New Patient 1:AA,,,New Patient 1:GH,,,New Patient 1:LE,,,New Patient 1:ME,,,New Patient 1:US,,,New Patient 1:RS,,,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,| New Patient 1:C7 |,| New Patient 1:PX |,| New Patient 1:T8 |,| New Patient 1:IJ |,| New Patient 1:SC |,| New Patient 1:AC |,| New Patient 1:AI |,| New Patient 1:TS |,| New Patient 1:AA |,| New Patient 1:GH |,| New Patient 1:LE |,| New Patient 1:ME |,| New Patient 1:US |,| New Patient 1:RS |,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )'',Magnitude( X )''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,687.706,8.28319,1535.41,453.33,-23.4526,1292.54,752.097,11.0854,1320.35,522.638,-20.9861,1435.53,526.616,4.08464,1443.56,578.734,153.458,1476.76,714.908,94.4777,1456.09,746.481,93.7863,1339,643.058,208.352,1431.27,601.691,217.108,1443.4,541.103,249.369,1149.08,507.614,163.05,1129.38,453.77,276.546,883.168,423.165,339.419,916.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682.41,1369.93,1519.57,1527.85,1536.62,1593.52,1624.88,1535.89,1582.86,1578.79,1294.36,1248.9,1030.71,1065.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,687.686,8.28014,1535.41,453.318,-23.4667,1292.52,752.086,11.1316,1320.35,522.636,-20.9834,1435.54,526.574,4.06413,1443.56,578.711,153.439,1476.78,714.888,94.5005,1456.11,746.249,93.7826,1339.01,643.009,208.36,1431.29,601.661,217.089,1443.44,541.106,249.344,1149.14,508.139,163.176,1129.35,453.729,276.611,883.212,423.202,339.511,916.824,-2.01464,-0.304636,-0.214577,-1.14739,-1.41095,-1.45435,-1.13249,4.6147,0.357628,-0.2563,0.275299,1.06096,-4.27365,-2.05077,-0.166893,-2.28882,-1.90586,1.71661,-2.07424,2.27988,1.81198,-23.2041,-0.364333,0.941753,-4.91738,0.859797,2.57492,-3.016,-1.93268,4.04119,0.309944,-2.53618,6.7234,52.4521,12.6302,-2.87294,-4.01139,6.47604,4.46439,3.70145,9.17912,2.51532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682.4,1369.91,1519.57,1527.86,1536.6,1593.53,1624.89,1535.78,1582.87,1578.81,1294.41,1249.1,1030.75,1065.33,-1.0252,-1.74046,-0.214577,0.905991,-1.63317,0.584126,0.834465,-10.4785,0.452995,2.2769,5.60284,20.3729,3.79086,6.55651,,,,,,,,,,,,,,
3,0,687.666,8.27874,1535.41,453.314,-23.46,1292.49,752.072,11.1729,1320.36,522.622,-21.0216,1435.54,526.54,4.05374,1443.55,578.68,153.423,1476.8,714.855,94.5236,1456.13,746.161,93.7828,1339.04,642.963,208.371,1431.33,601.633,217.086,1443.47,541.105,249.346,1149.19,508.822,163.306,1129.39,453.704,276.69,883.272,423.221,339.611,916.867,-2.06232,-0.140164,0.202656,-0.482798,0.667199,-2.67029,-1.43051,4.12883,0.786781,-1.35899,-3.82625,-0.0476837,-3.39746,-1.03987,-0.810623,-3.09348,-1.58995,2.15769,-3.24249,2.30819,1.97887,-8.7142,0.0171363,2.563,-4.60148,1.05351,3.17097,-2.82526,-0.286102,3.0756,-0.137091,0.238419,4.31538,68.2652,12.9953,3.85046,-2.52724,7.9602,5.94854,1.86563,9.95696,4.26769,-4.76837,16.4472,41.7233,66.4592,207.815,-121.593,-29.8023,-48.5871,42.9153,-110.269,-410.154,-110.865,87.6188,101.09,-64.373,-80.4663,31.5905,44.1074,-116.825,2.83122,16.6893,1448.99,38.147,162.125,31.5905,19.3715,59.6046,19.0735,164.658,-96.5595,-44.7035,277.46,-240.803,1581.31,36.5078,672.34,148.416,148.416,148.416,-183.582,77.7841,175.238,1682.39,1369.89,1519.57,1527.86,1536.58,1593.53,1624.89,1535.76,1582.88,1578.83,1294.45,1249.43,1030.81,1065.41,-0.655651,-2.68221,0.0119209,-0.464916,-1.93119,0.727177,0.488758,-1.9908,1.13249,1.69277,3.82662,32.9614,6.12736,7.58171,36.9549,-94.1753,22.6498,-137.091,-29.8023,14.3051,-34.5707,848.77,67.9493,-58.4126,-177.622,1258.85,233.65,102.52
4,0,687.641,8.27933,1535.41,453.311,-23.4429,1292.46,752.056,11.2097,1320.37,522.602,-21.0831,1435.52,526.516,4.04816,1443.53,578.645,153.408,1476.83,714.819,94.5455,1456.16,746.161,93.7875,1339.07,642.923,208.383,1431.37,601.601,217.091,1443.5,541.1,249.37,1149.22,509.485,163.42,1129.46,453.693,276.784,883.346,423.222,339.718,916.928,-2.45571,0.0589527,0.38147,-0.232458,1.71401,-3.016,-1.5378,3.68087,1.12057,-2.00272,-6.14394,-1.69277,-2.38419,-0.55735,-1.33514,-3.49879,-1.54525,2.65837,-3.60012,2.18898,2.52724,-0.0238419,0.473112,3.65973,-3.91603,1.2219,4.07696,-3.17693,0.51856,2.83718,-0.464916,2.40803,2.8491,66.3578,11.3174,7.45058,-1.07586,9.39965,7.42674,0.12219,10.7616,6.07967,-39.3391,19.9117,17.8814,25.034,104.681,-34.5707,-10.7288,-44.7966,33.3786,-64.373,-231.769,-164.509,101.328,48.2518,-52.4521,-40.5312,4.47035,50.0679,-35.7628,-11.9209,54.8363,869.036,45.5976,109.673,68.5453,16.8383,90.5991,-35.1667,80.4663,-23.8419,-32.7826,216.961,-146.627,-190.735,-167.787,360.012,145.137,143.945,147.82,-174.344,80.4663,181.198,1682.38,1369.86,1519.57,1527.83,1536.56,1593.54,1624.9,1535.8,1582.9,1578.84,1294.48,1249.79,1030.9,1065.5,-0.655651,-2.95639,0.226498,-2.18153,-2.06232,1.03712,0.798702,3.20673,2.26498,1.45435,2.80142,35.2621,8.40425,8.72612,0,-27.4181,21.4577,-171.661,-13.113,30.9944,30.9944,519.753,113.249,-23.8419,-102.52,230.074,227.69,114.441
5,0,687.613,8.2803,1535.42,453.306,-23.4249,1292.44,752.043,11.2435,1320.38,522.584,-21.1466,1435.49,526.5,4.04377,1443.52,578.61,153.391,1476.86,714.788,94.5659,1456.19,746.177,93.8077,1339.11,642.894,208.395,1431.42,601.564,217.095,1443.54,541.09,249.406,1149.25,510.001,163.5,1129.54,453.694,276.892,883.433,423.207,339.833,917.006,-2.77162,0.0973232,0.405312,-0.566244,1.7954,-2.28882,-1.33514,3.3807,1.16825,-1.7941,-6.35553,-3.17097,-1.57356,-0.439724,-1.49012,-3.50475,-1.6436,3.29018,-3.15905,2.04369,3.40939,1.54376,2.01166,3.79086,-2.96235,1.23531,5.16176,-3.71933,0.376999,3.73125,-1.0252,3.58671,3.09944,51.6295,8.06749,7.7486,0.104308,10.7348,8.73208,-1.49906,11.5007,7.84397,-31.5905,3.83705,2.38419,-33.3786,8.13976,72.7177,20.2656,-30.0165,4.76837,20.8616,-21.1596,-147.82,81.0623,11.7626,-15.4972,-0.596046,-9.83477,63.1809,44.1074,-14.5286,88.2149,156.76,153.854,13.113,95.3674,1.3411,108.48,-54.2402,-14.1561,89.407,-56.0284,117.868,25.034,-1472.83,-324.994,29.8023,118.017,133.514,130.534,-162.125,73.9098,176.43,1682.38,1369.83,1519.57,1527.8,1536.54,1593.56,1624.92,1535.84,1582.94,1578.86,1294.51,1250.08,1031,1065.59,-0.762939,-2.37226,0.393391,-3.50475,-1.94311,1.62125,1.78814,4.17233,3.62396,2.0504,3.00407,29.099,10.4189,9.81092,-10.7288,58.4126,16.6893,-132.322,11.9209,58.4126,98.9437,96.5595,135.899,59.6046,20.2656,-616.312,201.464,108.48
6,0,687.588,8.27603,1535.42,453.298,-23.4104,1292.43,752.034,11.2767,1320.39,522.576,-21.1922,1435.46,526.491,4.0369,1443.51,578.578,153.376,1476.9,714.764,94.5841,1456.23,746.177,93.8514,1339.14,642.872,208.405,1431.48,601.528,217.093,1443.59,541.072,249.448,1149.29,510.451,163.563,1129.61,453.7,277.01,883.529,423.178,339.954,917.1,-2.51532,-0.427011,0.452995,-0.736117,1.4523,-0.870228,-0.905991,3.32175,0.870228,-0.798702,-4.55417,-3.1352,-0.929832,-0.686198,-0.751019,-3.21269,-1.48714,3.70741,-2.31862,1.81422,4.26769,0,4.36977,3.18289,-2.21729,0.995398,5.9247,-3.60012,-0.177324,5.03063,-1.8239,4.16636,4.72069,44.9538,6.26892,6.79493,0.506639,11.8732,9.58443,-2.94745,12.0282,9.36389,25.63,-52.4335,4.76837,-16.9873,-34.3099,141.859,42.9153,-5.89527,-29.8023,99.5398,180.136,3.57628,64.373,-24.6475,73.9098,29.2063,15.6462,41.7233,84.0425,-22.9478,85.8307,-154.376,235.811,-60.7967,74.5058,-23.9909,76.2939,11.9209,-55.4323,129.938,-79.8702,57.9655,162.125,-667.572,-179.857,-95.3674,40.2331,113.845,85.2346,-144.839,52.7501,151.992,1682.37,1369.82,1519.58,1527.77,1536.53,1593.58,1624.95,1535.87,1582.99,1578.89,1294.55,1250.33,1031.12,1065.7,-0.607967,-1.09673,0.321865,-3.15905,-1.03712,2.12193,2.90871,3.05176,4.58956,3.20673,4.23193,25.3081,11.6229,10.7288,15.4972,127.554,-7.15256,34.5707,90.5991,50.0679,112.057,-112.057,96.5595,115.633,122.786,-379.086,120.401,91.7912
7,0,687.571,8.26236,1535.43,453.292,-23.3983,1292.44,752.028,11.3114,1320.4,522.576,-21.2126,1435.44,526.488,4.02339,1443.52,578.551,153.367,1476.93,714.748,94.5961,1456.28,746.15,93.8944,1339.17,642.852,208.41,1431.54,601.497,217.088,1443.64,541.046,249.5,1149.36,510.744,163.606,1129.66,453.694,277.138,883.627,423.136,340.077,917.205,-1.74046,-1.36709,0.715256,-0.661612,1.21202,0.870228,-0.607967,3.47355,0.333786,0.0178814,-2.04407,-1.52588,-0.321865,-1.35121,0.524521,-2.71797,-0.931323,3.51667,-1.68085,1.19656,4.22001,-2.66433,4.30644,2.41995,-1.94311,0.502169,5.8651,-3.09944,-0.50962,5.22137,-2.58088,5.17666,6.58035,29.2957,4.27961,4.8995,-0.533462,12.7375,9.78708,-4.20809,12.2875,10.4785,77.486,-94.0077,26.226,7.45058,-24.0281,174.046,29.8023,15.1806,-53.6442,81.6584,251.01,160.933,60.7967,-66.5011,127.554,49.4719,55.5813,-19.0735,63.777,-61.7653,-4.76837,-266.433,-6.33299,-76.2939,27.4181,-49.3228,-5.96046,50.0679,-33.2296,19.0735,-75.6979,101.03,185.966,-1565.81,-198.93,-189.543,-104.01,86.4267,20.2656,-126.064,25.928,111.461,1682.37,1369.83,1519.58,1527.75,1536.54,1593.6,1624.98,1535.88,1583.03,1578.93,1294.61,1250.5,1031.23,1065.81,-0.0715256,0.584126,0.0238419,-1.39475,0.393391,2.18153,3.11136,1.0848,4.57764,3.51667,5.76973,16.9516,11.5752,11.2653,53.6442,168.085,-29.8023,176.43,143.051,5.96046,20.2656,-196.695,-1.19209,30.9944,153.78,-835.657,-4.76837,53.6442
8,0,687.558,8.24397,1535.44,453.285,-23.3869,1292.46,752.02,11.3476,1320.39,522.573,-21.2224,1435.44,526.484,4.00274,1443.53,578.528,153.361,1476.96,714.732,94.5988,1456.31,746.093,93.91,1339.18,642.832,208.41,1431.59,601.47,217.083,1443.68,541.015,249.571,1149.43,510.802,163.626,1129.68,453.659,277.27,883.719,423.083,340.201,917.316,-1.2517,-1.8389,0.882149,-0.613928,1.13621,1.46627,-0.816584,3.61493,-0.274181,-0.38147,-0.979193,-0.154972,-0.321865,-2.06465,0.846386,-2.27094,-0.597537,2.74181,-1.60336,0.273436,3.17097,-5.65648,1.55717,1.52588,-2.0504,-0.0536442,4.98295,-2.66433,-0.533462,3.94583,-3.1054,7.13766,7.39098,5.79953,2.07871,2.31266,-3.53754,13.2501,9.21488,-5.28097,12.4812,11.1938,48.8758,-47.1808,16.6893,4.76837,-7.58097,59.6046,-20.8616,14.1375,-60.7967,-39.9351,106.487,137.091,0,-71.344,32.1865,44.7035,33.3786,-77.486,7.7486,-92.3127,-104.904,-299.215,-274.926,-89.407,-10.7288,-55.5813,-88.2149,43.5114,-2.38419,-127.554,-52.4521,196.099,81.0623,-2349.61,-220.09,-258.684,-300.407,51.26,-57.2205,-107.288,19.3715,71.5256,1682.37,1369.84,1519.57,1527.75,1536.54,1593.62,1625,1535.87,1583.07,1578.95,1294.67,1250.55,1031.33,1065.93,0.274181,1.15633,-0.619888,-0.26226,0.679493,1.66893,2.15769,-1.33514,3.65973,2.52724,6.63996,4.73261,9.90629,11.5275,34.5707,57.2205,-64.373,113.249,28.6102,-51.26,-95.3674,-241.995,-91.7912,-98.9437,87.0228,-1221.9,-166.893,26.226
9,0,687.54,8.22633,1535.44,453.277,-23.3772,1292.45,752.006,11.3838,1320.38,522.556,-21.2295,1435.44,526.473,3.98057,1443.52,578.509,153.351,1476.98,714.713,94.5936,1456.32,746.033,93.9036,1339.19,642.811,208.403,1431.62,601.448,217.076,1443.7,540.978,249.661,1149.5,510.705,163.64,1129.68,453.573,277.404,883.8,423.021,340.331,917.433,-1.8537,-1.76402,0.214577,-0.843406,0.97286,-0.405312,-1.38283,3.62704,-0.77486,-1.69873,-0.711158,-0.178814,-1.16229,-2.21743,-0.226498,-1.88351,-0.990927,1.87159,-1.88947,-0.519305,1.72853,-6.04391,-0.634789,0.810623,-2.06828,-0.625849,3.68357,-2.25902,-0.610948,2.40803,-3.74913,9.00477,6.80685,-9.68575,1.38432,0.26226,-8.59499,13.42,8.10623,-6.20186,12.958,11.6348,-60.2007,7.48783,-66.7572,-22.9478,-16.3354,-187.159,-56.6244,1.21072,-50.0679,-131.726,26.8035,-2.38419,-84.0425,-15.2783,-107.288,38.743,-39.3391,-87.0228,-28.6102,-79.2742,-144.243,-38.743,-219.196,-71.5256,-1.78814,-57.2205,-129.938,40.5312,-7.7486,-153.78,-64.373,186.712,-58.4126,-1548.53,-69.4394,-205.04,-505.745,16.9873,-110.865,-92.0892,47.6837,44.1074,1682.37,1369.83,1519.56,1527.74,1536.54,1593.63,1625.01,1535.84,1583.09,1578.97,1294.74,1250.51,1031.4,1066.05,-0.560284,-0.667572,-1.33514,-0.751019,-0.619888,0.953674,0.679493,-2.26498,2.40803,1.2517,6.2108,-3.54052,6.77109,11.6825,-83.4465,-182.39,-71.5256,-48.8758,-129.938,-71.5256,-147.82,-92.9832,-125.17,-127.554,-42.9153,-827.313,-313.52,15.4972
