Var1,mc_new
trap_scap_4,0.384
trap_scap10,0.384
trap_clav_1,0.581
lev_scap_1,0.581
pect_min_2,0
rhomboid_3,0.581
serr_ant_2,0.162
serr_ant_5,0.162
serr_ant_8,0.162
delt_scap_3,0.384
delt_scap10,0.384
delt_clav_2,0.233
coracobr_2,0
infra_4,0.314
ter_min_2,0.291
ter_maj_3,0.029
supra_3,0.512
subscap_6,0.279
bic_l,0.442
bic_b_1,0.442
tric_long_2,0.015
lat_dorsi_2,0.015
lat_dorsi_4,0.015
pect_maj_t_3,0
pect_maj_t_5,0
pect_maj_c_2,0.118
tric_med_4,0.015
brachialis_4,0.442
brachiorad_2,0.442
pron_teres_1,0.015
pron_teres_2,0.015
supinator_3,0.302
pron_quad_2,0.015
tric_lat_3,0.015
anconeus_2,0
