,fmax_new
brachialis_4,336.8444009
brachiorad_2,73.04683373
pron_teres_1,275.6099706
bic_l,99.2386532
bic_b_1,141.5652257
anconeus_2,67.77935732
tric_long_2,113.2421418
tric_med_4,108.0263832
tric_lat_3,114.7466875
delt_scap_3,747.0971656
delt_scap10,53.79020325
delt_clav_2,156.1313839
coracobr_2,319.3685956
lat_dorsi_2,35.69612615
lat_dorsi_4,36.64700151
infra_4,728.3605672
supra_3,413.639594
pect_min_2,26.36911653
pect_maj_t_3,38.07642723
pect_maj_t_5,33.37034388
pect_maj_c_2,28.02389243
subscap_6,73.72346013
trap_scap_4,563.5090121
trap_scap10,353.6918267
trap_clav_1,95.91642759
lev_scap_1,133.2172605
rhomboid_3,289.0814554
serr_ant_2,93.46153258
serr_ant_5,107.6839397
serr_ant_8,119.5359457
ter_min_2,32.36376463
ter_maj_3,190.7169795
supinator_3,315.4232868
pron_teres_2,53.07241461
pron_quad_2,176.9080487
