Var1,mc_new
trap_scap_4,0.14
trap_scap10,0.14
trap_clav_1,0.14
lev_scap_1,0.14
pect_min_2,0.32
rhomboid_3,0.14
serr_ant_2,0.32
serr_ant_5,0.32
serr_ant_8,0.32
delt_scap_3,0.14
delt_scap10,0.14
delt_clav_2,0.14
coracobr_2,0.32
infra_4,0.14
ter_min_2,0.14
ter_maj_3,0.32
supra_3,0.14
subscap_6,0.14
bic_l,0.14
bic_b_1,0.14
tric_long_2,0.32
lat_dorsi_2,0.32
lat_dorsi_4,0.32
pect_maj_t_3,0.32
pect_maj_t_5,0.32
pect_maj_c_2,0.32
tric_med_4,0.32
brachialis_4,0.14
brachiorad_2,0.14
pron_teres_1,0.32
pron_teres_2,0.32
supinator_3,0.14
pron_quad_2,0.32
tric_lat_3,0.32
anconeus_2,0.32
